Title,Institution,Profile,Memory,Planning,Action,Capability Acquition,Social science,Natural Science,Engineering,Subjective,Objective,Benchmark,Release Date,Publication,Code,Paper
DERA,Curai Health,Handcrafting,"Hybrid,Read/Write",w/ Feedback,,,,,,Human Annotation,Multi-task Evaluation,w/ Benchmark,2023-03-30,arxiv,,https://arxiv.org/pdf/2303.17071.pdf?trk=public_post_comment-text
Emergent autonomous scientific research capabilities of large language models,Carnegie Mellon University,,"Hybrid,Read/Write",w/ Feedback,w/ Tools,,,"Data Management,Document,Experiment Assistant,Science Education",,,,,2023-04-11,arxiv,,https://arxiv.org/pdf/2304.05332.pdf
Toxicity in CHATGPT,"Georgia Tech,Princeton University,The Allen Institute for AI",Handcrafting,,,,,,,,,,,2023-04-11,arxiv,,https://arxiv.org/abs/2304.05335
Can Large Language Models Transform Computational Social Science?,"Georgia Institute of Technology,Shanghai Jiao Tong University,Stanford University",,,,,,"Political Science and Economy,Psychology,Research Assistant",,,Human Annotation,,,2023-04-12,arxiv,,https://arxiv.org/pdf/2305.03514.pdf
API-Bank,Peking University,,,w/ Feedback,w/ Tools,Prompt Engineering,,,,,,,2023-04-14,arxiv,,https://arxiv.org/abs/2304.08244
Self-collaboration Code Generation via ChatGPT,Peking University,Handcrafting,,w/o Feedback,w/o Tools,Mechanism Engineering,,,CS&SE,,,,2023-04-15,arxiv,,https://arxiv.org/pdf/2304.07590.pdf
Improving Grounded Language Understanding in a Collaborative Environment by Interacting with Agents Through Help Feedback ,Purdue University,,Unified,w/ Feedback,w/o Tools,w/ Fine-tuning,,,Civil Engineering,,Environment Simulation,w/ Benchmark,2023-04-21,arxiv,,https://arxiv.org/abs/2304.10750
Multi-Party Chat,"Cornell University,Meta AI Research",Dataset alignment,,,,,,,,Human Annotation,Social Evaluation,w/ Benchmark,2023-04-26,arxiv,,https://arxiv.org/abs/2304.13835
Industrial Engineering with Large Language Models,International Business Machines Corporation,,,w/o Feedback,,,,,Industrial Automation,,,,2023-04-27,arxiv,,https://arxiv.org/abs/2304.14354
Learning to Reason and Memorize with Self-Notes,Meta AI,,Unified,w/o Feedback,,w/ Fine-tuning,,,,,,w/ Benchmark,2023-05-01,arxiv,,https://arxiv.org/abs/2305.00833
"Plan, Eliminate, and Track -- Language Models are Good Teachers for Embodied Agents",Carnegie Mellon University,,Unified,w/ Feedback,w/o Tools,Prompt Engineering,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023-05-03,arxiv,,https://arxiv.org/abs/2305.02412
Can Generative AI Improve Social Science Research?,Duke University,,,,,,Research Assistant,,,,,,2023-05-12,osf.io,,https://osf.io/rwtzs/download
Introspective Tips,Microsoft,,,w/ Feedback,,Prompt Engineering,,,,,,w/ Benchmark,2023-05-19,arxiv,,https://arxiv.org/abs/2305.11598
Augmenting Autotelic Agents with Large Language ModelsSuperAGI,"Massachusetts Institute of Technology,Microsoft Research",,"Hybrid,Read/Write",w/ Feedback,w/o Tools,Mechanism Engineering,,,,,,,2023-05-21,arxiv,,https://arxiv.org/abs/2305.12487
RecurrentGPT,ETH Zürich,,"Hybrid,Read/Write/Reflection",w/o Feedback,,,,,,Human Annotation,,w/ Benchmark,2023-05-22,arxiv,,https://arxiv.org/abs/2305.13304
Reflective Linguistic Programming (RLP),SocialAGI,Handcrafting,"Hybrid,Read/Write/Reflection",w/ Feedback,,Prompt Engineering,,,,,,,2023-05-22,arxiv,,https://arxiv.org/pdf/2305.12647.pdf
RET-LLM,Microsoft,,"Hybrid,Read/Write",,,w/ Fine-tuning,,,,,,,2023-05-23,arxiv,,https://arxiv.org/abs/2305.14322
Two Failures of Self-Consistency in the Multi-Step Reasoning of LLMs ,"Anthropic,Google,New York University",,,,,,,,,,Environment Simulation,w/ Benchmark,2023-05-23,arxiv,,https://arxiv.org/abs/2305.14279
Do LLMs Understand Social Knowledge? Evaluating the Sociability of Large Language Models with SOCKET Benchmark ,University of Michigan,,,,,,,,,,"Multi-task Evaluation,Social Evaluation",w/ Benchmark,2023-05-24,arxiv,,https://arxiv.org/pdf/2305.14938.pdf
Reasoning with Language Model is Planning with World Model,"Mohamed bin Zayed University of Artificial Intelligence,UC San Diego,University of Florida",,,w/o Feedback,w/o Tools,w/ Fine-tuning,,,,,,,2023-05-24,arxiv,,https://arxiv.org/pdf/2305.14992.pdf
Role-Play with Large Language Models,"DeepMind,Eleuther AI,Imperial College London",Handcrafting,,,,,,,,,,,2023-05-25,arxiv,,https://arxiv.org/abs/2305.16367
SQL-PALM,"Cloud AI Research Team,DeepMind",,Unified,w/o Feedback,w/o Tools,w/ Fine-tuning,,,CS&SE,,,w/ Benchmark,2023-05-26,arxiv,,https://arxiv.org/abs/2306.00739
Encouraging divergent thinking in large language models through multi-agent debate,Tsinghua University,Handcrafting,Unified,w/ Feedback,,,,,,,,,2023-05-30,arxiv,,https://arxiv.org/pdf/2305.19118.pdf
Minding Language Models’ (Lack of) Theory of Mind,"Carnegie Mellon University,University of Washington",,"Hybrid,Read/Write",w/o Feedback,,,,,,,Social Evaluation,w/ Benchmark,2023-06-01,arxiv,,https://arxiv.org/abs/2306.00924
 MULTI-AGENT COLLABORATION,"University of Alberta,York University",Handcrafting,,w/ Feedback,w/ Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2023-06-05,arxiv,,https://arxiv.org/pdf/2306.03314.pdf
ChatDB,,,,,,,,,,,,,,,,
Enabling Intelligent Interactions between an Agent and an LLM,Zhejiang Lab,,Unified,w/o Feedback,w/o Tools,Mechanism Engineering,,,Robotics & Embodied AI,,Environment Simulation,,2023-06-06,researchgate.net,,https://arxiv.org/abs/2306.03604
Large Language Model Is Semi-Parametric Reinforcement Learning Agent,Shanghai Jiao Tong University,,"Hybrid,Read/Write/Reflection",w/o Feedback,,Mechanism Engineering,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023-06-09,arxiv,,https://arxiv.org/abs/2306.07929
Augmenting Language Models with Long-Term Memory,"Microsoft,University of California",,"Hybrid,Read/Write/Reflection",,w/o Tools,w/ Fine-tuning,,,,,,w/ Benchmark,2023-06-12,arxiv,,https://arxiv.org/abs/2306.07174
AI and the transformation of social science research,University of Waterloo,,,,,,Social Simulation,"Experiment Assistant,Science Education",,,,,2023-06-15,science,,https://www.science.org/doi/full/10.1126/science.adi1778
The Tong Test,"Beijing Institute for General Artificial Intelligence,Peking University",,,,,,,,,Human Annotation,"Environment Simulation,Multi-task Evaluation,Social Evaluation",w/ Benchmark,2023-07-01,Engineering,,https://www.sciencedirect.com/science/article/pii/S209580992300293X
Embodied Task Planning with Large Language Models,Beijing University of Posts and Telecommunications,,Unified,w/o Feedback,w/o Tools,w/ Fine-tuning,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023-07-04,arxiv,,https://arxiv.org/abs/2307.01848
Math Agents,"Lutheran University of Brazil,RedBud AI,Teikyo University,University College London",,,,,,,Science Education,,,,,2023-07-04,arxiv,,https://arxiv.org/pdf/2307.02502.pdf
,Salesforce Research,,,w/ Feedback,w/o Tools,Prompt Engineering,,,,,,,2023-07-18,arxiv,,https://arxiv.org/pdf/2307.08962.pdf
REX,"Google DeepMind,Imperial College London",,,,,,,,Robotics & Embodied AI,,,,2023-07-18,ICLR,,https://arxiv.org/abs/2307.09668
Are you in a Masquerade? Exploring the Behavior and Impact of Large Language Model Driven Social Bots in Online Social Networks,Sichuan University,,,,,,Social Simulation,,,,Social Evaluation,w/ Benchmark,2023-07-19,arxiv,,https://arxiv.org/abs/2307.10337
Tachikuma,"University of Technology Sydney,Zhejiang University",Dataset alignment,Unified,w/ Feedback,w/o Tools,Mechanism Engineering,,,,Human Annotation,Environment Simulation,w/ Benchmark,2023-07-24,arxiv,,https://arxiv.org/abs/2307.12573
S3 ,Tsinghua University,Dataset alignment,"Hybrid,Read/Write/Reflection",,w/o Tools,Mechanism Engineering,Social Simulation,,,,,,2023-07-27,arxiv,,https://arxiv.org/abs/2307.14984
Dialogue Shaping,Georgia Institute of Technology,Handcrafting,Unified,w/ Feedback,w/o Tools,Mechanism Engineering,,,Robotics & Embodied AI,,,,2023-07-28,arxiv,,https://arxiv.org/pdf/2307.15833.pdf
Understanding the Benefits and Challenges of Using Large Language Model-based Conversational Agents for Mental Well-being Support,"Emory University,Harvard University,Irvine,UniUniversity of California",,,,,,Psychology,,,,,,2023-07-28,arxiv,,https://arxiv.org/abs/2307.15810
ChatMOF,Korea Advanced Institute of Science and Technology,,Unified,w/ Feedback,w/ Tools,,,"Data Management,Document",,,,,2023-08-01,arxiv,,https://arxiv.org/pdf/2308.01423.pdf
The Hitchhiker’s Guide to Program Analysis,UC Riverside,,,w/ Feedback,w/o Tools,Prompt Engineering,,,CS&SE,,,,2023-08-01,arxiv,,https://arxiv.org/abs/2308.00245
InterAct,National Tsing Hua University,,Unified,w/ Feedback,w/o Tools,Prompt Engineering,,,,,,,2023-08-03,arxiv,,https://arxiv.org/abs/2308.01552
RETROFORMER,Salesforce Research,,,,,w/ Fine-tuning,,,,,,,2023-08-04,arxiv,,https://arxiv.org/abs/2308.02151
TPTU,SenseTime Research,,"Hybrid,Read/Write",w/o Feedback,w/ Tools,Prompt Engineering,,,,,Multi-task Evaluation,,2023-08-07,arxiv,,https://arxiv.org/pdf/2308.03427.pdf
Agreement and Statistical Efficiency in Bayesian Perception Models,Massachusetts Institute of Technology,,,,,,,,,,,,2023-08-09,arxiv,,https://arxiv.org/abs/2205.11561
Enhancing Trust in LLM-Based AI Automation Agents,IBM Research,,,,,,,,,,,,2023-08-10,arxiv,,https://arxiv.org/abs/2308.05391
Dynamic Planning with a LLM,University of Edinburgh,,Unified,w/o Feedback,w/o Tools,Prompt Engineering,,,,,,,2023-08-11,arxiv,,https://arxiv.org/abs/2308.06391
Mindstorms in Natural Language-Based Societies of Mind,"Beihang University,University of Oxford",Handcrafting,,,w/ Tools,,,Science Education,Robotics & Embodied AI,,"Environment Simulation,Multi-task Evaluation",w/ Benchmark,2023-05-26,arxiv,,[2305.17066] Mindstorms in Natural Language-Based Societies of Mind (arxiv.org)
Personality Traits in Large Language Models,"Berkeley,Google,University of California",Handcrafting,,,w/o Tools,,Psychology,,,Turing Test,Social Evaluation,,2023-07-01,arxiv,,[2307.00184] Personality Traits in Large Language Models (arxiv.org)
Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems,University of Waterloo,,Unified,w/o Feedback,w/o Tools,,,,,,,,2023-07-12,arxiv,,[2307.06187] Self-Adaptive Large Language Model (LLM)-Based Multiagent Systems (arxiv.org)
A large language model-assisted education tool to provide feedback on open-ended responses,Johns Hopkins University,,,,w/ Tools,,,Science Education,,,,,2023-07-25,arxiv,,[2308.02439] A large language model-assisted education tool to provide feedback on open-ended responses (arxiv.org)
Memory Sandbox,University of California San Diego,,"Hybrid,Read/Write/Reflection",,w/o Tools,,,,,,,,2023-08-03,arxiv,,https://arxiv.org/abs/2308.01542
Benchmarking LLM powered Chatbots,,,,,,,,,,,,w/ Benchmark,2023-08-08,arxiv,,[2308.03656] Emotionally Numb or Empathetic? Evaluating How LLMs Feel Using EmotionBench (arxiv.org)
PentestGPT,Nanyang Technological University,,"Hybrid,Read/Write",w/ Feedback,w/o Tools,,,,CS&SE,,Software Testing,w/ Benchmark,2023-08-13,arxiv,,[2308.06782] PentestGPT: An LLM-empowered Automatic Penetration Testing Tool (arxiv.org)
CodeHelp,Carnegie Mellon University,,,w/o Feedback,w/o Tools,Prompt Engineering,,Science Education,CS&SE,,,,2023-08-14,arxiv,,[2308.06921] CodeHelp: Using Large Language Models with Guardrails for Scalable Support in Programming Classes (arxiv.org)
CALYPSO,University of Maryland,,Unified,,w/o Tools,,,,,,,,2023-08-15,arxiv,,[2308.07540] CALYPSO: LLMs as Dungeon Masters' Assistants (arxiv.org)
RAH! RecSys-Assistant-Human,Fudan University,,"Hybrid,Read/Write/Reflection",w/o Feedback,w/o Tools,,,,,,,w/ Benchmark,2023-08-19,arxiv,,[2308.09904] RAH! RecSys-Assistant-Human: A Human-Central Recommendation Framework with Large Language Models (arxiv.org)
ExpeL,Tsinghua University,,"Hybrid,Read/Write/Reflection",w/ Feedback,w/ Tools,,,,,,Multi-task Evaluation,w/ Benchmark,2023-08-20,arxiv,,[2308.10144] ExpeL: LLM Agents Are Experiential Learners (arxiv.org)
ChatEDA,The Chinese University of Hong Kong,,,w/o Feedback,w/ Tools,Mechanism Engineering,,,CS&SE,,,,2023-08-20,arxiv,,[2308.10204] ChatEDA: A Large Language Model Powered Autonomous Agent for EDA (arxiv.org)
Algorithm of Thoughts,"Microsoft,Virginia Tech",,,w/o Feedback,,,,,,,,w/ Benchmark,2023-08-20,arxiv,,https://arxiv.org/abs/2308.10379
DiagGPT,University of Illinois Urbana-Champaign,GPT-Generated,Unified,,,,,,,,,,2023-08-21,arxiv,,https://arxiv.org/abs/2308.08043
ProAgent,The Chinese University of Hong Kong,,"Hybrid,Read/Write",w/ Feedback,w/o Tools,,,,Robotics & Embodied AI,,Environment Simulation,w/ Benchmark,2023-08-22,arxiv,,[2308.11339] ProAgent: Building Proactive Cooperative AI with Large Language Models (arxiv.org)
PREFER,"Beijing University of Posts and Telecommunications,Peking University",,,w/ Feedback,w/o Tools,,,,,,,,2023-08-23,arxiv,,[2308.12033] PREFER: Prompt Ensemble Learning via Feedback-Reflect-Refine (arxiv.org)
RecMind,Arizona State University,,"Hybrid,Read/Write",w/o Feedback,w/ Tools,,,,,Human Annotation,Multi-task Evaluation,w/ Benchmark,2023-08-28,arxiv,,[2308.14296] RecMind: Large Language Model Powered Agent For Recommendation (arxiv.org)
CGMI,East China Normal University,Dataset alignment,"Hybrid,Read/Write/Reflection",w/ Feedback,w/o Tools,w/ Fine-tuning,,,,,,,2023-08-28,arxiv,,https://arxiv.org/abs/2308.12503
